<ls>H. 616. 1212</ls>	<ls>H. 616.</ls> <ls n="H.">1212</ls>
<ls>H. 1110. an. 2,129.</ls>	<ls>H. 1110.</ls> <ls n="H. ">an. 2,129.</ls>
<ls>H. 186. an. 4,198.</ls>	<ls>H. 186.</ls> <ls n="H. ">an. 4,198.</ls>
<ls>H. 264. an. 2,386.</ls>	<ls>H. 264.</ls> <ls n="H. ">an. 2,386.</ls>
<ls>H. 528. an. 2,205.</ls>	<ls>H. 528.</ls> <ls n="H. ">an. 2,205.</ls>
<ls>H. 140. an. 2,387.</ls>	<ls>H. 140.</ls> <ls n="H. ">an. 2,387.</ls>
<ls n="H.">1432. an. 4,283.</ls>	<ls n="H.">1432.</ls> <ls n="H. ">an. 4,283.</ls>
<ls>H. 1089. an. 3,313.</ls>	<ls>H. 1089.</ls> <ls n="H. ">an. 3,313.</ls>
<ls>H. 1040. an. 2,419.</ls>	<ls>H. 1040.</ls> <ls n="H. ">an. 2,419.</ls>
<ls>H. 521. an. 3,620.</ls>	<ls>H. 521.</ls> <ls n="H. ">an. 3,620.</ls>
<ls>H. 1105. an. 4,205.</ls>	<ls>H. 1105.</ls> <ls n="H. ">an. 4,205.</ls>
<ls>H. 828. an. 2,541.</ls>	<ls>H. 828.</ls> <ls n="H. ">an. 2,541.</ls>
<ls>H. 359. 714. an. 2,291.</ls>	<ls>H. 359.</ls> <ls n="H.">714.</ls> <ls n="H. ">an. 2,291.</ls>
<ls>H. 177. an. 4,299.</ls>	<ls>H. 177.</ls> <ls n="H. ">an. 4,299.</ls>
<ls>H. 159. an. 3,437.</ls>	<ls>H. 159.</ls> <ls n="H. ">an. 3,437.</ls>
<ls>H. 509. an. 2,516.</ls>	<ls>H. 509.</ls> <ls n="H. ">an. 2,516.</ls>
<ls>H. 1537. an. 7,5. 6.</ls>	<ls>H. 1537.</ls> <ls n="H. ">an. 7,5.</ls> <ls n="H. an.">6.</ls>
