abbr	len	ambiguous	raw	marked	in_other_tags	bare_narrative	ctx1	ctx2	ctx3
Nn. prr.	8		8	0	0	8	     <LEND>     ¦ =     <LEND>     ¦ und   und  ) Nn. prr. zweier Männer; s.   und   . <LEND>     ¦ =       	  ; mit dem acc.:     <LEND>     ¦ (  ) und   mm. Nn. prr. zweier     <LEND>     ¦   =     <LEND>     ¦ (von	s Baumes,   (s.  ),   im   <LEND>     ¦ ( ) und   Nn. prr. zweier Männer; pl.       zu   <LEND>     ¦ ( )   
Randgl.	7		12	0	4	8	im   nach Andern ein davon verschiedenes Wesen  , Randgl.       ein Volk   in   <div n="v">— Vgl.   . <LEND	 <LEND>     ¦ s.   . <LEND>     ¦ ( )      ,    , Randgl. <div n="v">— Vgl.   . <LEND>     ¦ (  + 1.  )    	gl.   . <LEND>     ¦  , dann (richtiger pl.)    , Randgl. so heisst in den Unterschriften der Kapitel häufi
Zusammeng.	10		8	0	0	8	        ,         (vielleicht ein Compositum)   — Zusammeng. aus   (vgl.  ) und    . 2. zu   <LEND>    1.  ¦  	 ¦ adv. in Verbindung mit         oder     zu   — Zusammeng. aus 1.   (?); vgl.   . <LEND>     ¦ (von   mit  )	.                                :   (voc.)     — Zusammeng. aus 3.   also eig.  ; nach   :  , nach   als Oxyt
grammat.	8		9	0	1	8	hl falsche Lesart für   . <LEND>    1.  ¦ (eine ungrammat. Bildung von  )    ,  . 6, nach der Lesart der    	 vorzuziehen. <LEND>     ¦ (von   mit  )    , von grammat. Zusammensetzungen    ,   <LEND>     ¦ (von   mit 	emerkenswerth ist das mit dem Folgenden in keiner grammat. Verbindung stehende  , mit dem eine Erzählung ein
nam.	4		8	0	0	8	eise der einz. Bücher auch  )   <div n="1"> 1)   (nam. von Milch);  ; auch im pl. gebraucht.   unter den	   mit  )    :       <LEND>     ¦ (wie eben)     (nam. die eines höhern Wesens)         ( )   (so ist zu	Mächten (von welchen die Menschen besessen sind), nam. vom    :                                         
neg.	4		8	0	0	8	e Auflösungen mögen   und   veranlasst haben, dem neg.   die Bedeutung von   und   zuzutheilen.</F>     	initum:     (im Vorwurf),    . zu   — Man hat die neg. Partikel   mit dem im vorigen Artikel besprochene	nklang an eine falsche Etymologie vermittelst des neg.  ):           ( )             (  übers.   durch  
omin.	5		8	0	0	8	rh.,                                             (omin.)   in                           (          Uebert	1"> 1)                                           (omin.)   in               =   =       <div n="1">— 2)  	 in dieser Verbindung für eine Ableitung eines denomin. von   anzusehen und demzufolge die Formen   und  
verschied.	10		8	0	0	8	              Bez.   ( )   <div n="1">— 2)     N. verschied. Pflanzen:   ( );       <div n="1">— 3)           	      Als       zu   <div n="2">— b) N. einer der verschied. Arten von  , welche   aufgezählt werden. <div n="	überh.   im   <div n="1">— 2)   <div n="2"> a) N. verschied. Vögel: <div n="3"> α)   ( ). <div n="3">— β)     
Bedeut.	7		7	0	0	7	 auch   und  , z. B.  , und   und   und   (in der Bedeut.  ) und   . Auch in   ist dieselbe Bedeutung wahrz	ich in der spätern Sprache   und  , die in beiden Bedeut. häufig mit einander verwechselt werden. Das slav.	       In vielen von diesen Beispielen spielt die Bedeut. schon nach   hinüber. <div n="2">— b)   oder   (ü
Beisp.	6		8	1	0	7	e Stelle     — Diese letztere Bedeutung (vgl. die Beisp. u. 1.) beruht wohl hier wie bei   auf einer Spitz	den zu müssen:               (vgl. oben das erste Beisp.)   — pass.:        :                             	               zu   führt aus dem     (vgl. o. d. Beisp. aus  ) auf:   (Var.:   [Page2-0159]   (v. l.     
Rhet.	5		7	0	0	7	 n="1"> 1)         (im  ). <div n="1">— 2) in der Rhet.  ; z. B.     <LEND>     ¦ (von  )       in den Un	u lesen; vgl.   in   v. u. <div n="1">— 3) in der Rhet.  :         <div n="1">— 4) =       <div n="v">— V	ichen:     zu       zu         so v. a.  , in der Rhet. Bez.  :     Beispiel:   dazu wird bemerkt:   . <d
copulat.	8		7	0	0	7	END>     ¦ (von  )  :     <LEND>     ¦           (copulat.)               ( )   Citat in       adv.       ( 	enden Volksstammes         Statt   (angeblich ein copulat. comp.) ist beim   zu   vielleicht   zu lesen; vgl	      verschieden von   und       und     sg. als copulat. compp.     zu     s. u. dem zweiten Worte der Zus
dem.	4		8	0	1	7	 mit  ):                 Ueber das Vorangehen des dem. Satzes vgl. auch u.   . <div n="1">— 3) subst.  ,	     Statt   hat   beim   zu     und   noch ausserdem. <div n="1">— 3)  :           :         : =  ,   :	  : [Page4-0022]     <div n="p">—     oder  ; mit dem. acc.:                 Vgl.   . — caus.  :        
intr.	5		7	0	0	7	    Mit doppeltem acc.  :         <div n="1">— 2) intr.  :                         [Page3-0155]          	. w.)    :        :     — pass. <div n="1"> 1)   (intr.):                   (von Wunden)   <div n="1">— 2	 so v. a.  :   Schol. zu   <div n="1">— 4)  , mit intr. der Sache (vgl. simpl. 2):         <div n="p">— i
mathem.	7		7	0	0	7	   mit  )   <div n="1"> 1)     <div n="1">— 2)   (mathem.)    <div n="1">— 3)     <LEND>     ¦ (1.  )      	(       ˚)       (loc.):       <div n="2">— l)   (mathem.)   <div n="2">— m)  , am Ende eines comp.:       	nes comp.:         ( )   <div n="1">— 2)   (?)   (mathem.), =     Vgl.   2,l. <LEND>     ¦ ( )    , deren e
refl.	5		7	0	0	7	 u. s. w. <div n="1">— 3)  ; häufig für das pron. refl.:                                                 	 )        , vertritt die Stelle eines pron. poss. refl. aller Personen,                     ( )       ( )	               — pass.:     <div n="1">— 3) pass. refl.  :     — partic.   <div n="1"> 1)  :         <div
reg.	4		7	0	0	7	. u.  , β und u.   <div n="3">— γ) bildet mit dem reg. Worte ein adv. comp.:    ,   <div n="2">— e)  , a	 n="2">— g)  :             Verbindet sich mit dem reg. Worte zu einem comp., s.   . Vgl.   und   mit   .	 )           <LEND>     ¦ (von   mit  )    :   (unreg. Krasis)     <LEND>     ¦ (von   mit  )           
Abl.	4		6	0	0	6	nden Artikel); sonst erscheint im   immer nur der Abl. sg.   in der subst. Bedeutung  :                 	. <LEND>     ¦ (3.  )    :     <LEND>     ¦ (3.   Abl. von  )     adv. <div n="1"> 1)                   	ur folgende Casus erhalten: Sg. Instr.  , Dat.  , Abl. Gen.  , Loc.   oder  ; Du. Gen. Loc.  ; Pl. Gen. 
Dramat.	7		6	0	0	6	                      zu   <div n="1">— 4) in der Dramat.   (einer Hoffnung)   <div n="1">— 5) =         <d	       <div n="2">— c)     <div n="2">— d) in der Dramat.   (einer Hoffnung)   <LEND>     ¦ (wie eben)    :	)    :     <LEND>     ¦ (von 2.   mit  )   in der Dramat.   (s.  )   <LEND>     ¦ (von 1.   mit  )   <div n
Erklär.	7		6	0	0	6	age1-0340]         (des Autors),  , am Ende einer Erklär. bei Scholiasten.  :     — Nach den Lexicographen 	sen werden zu müssen.         u.s.w. in       zur Erklär. von       <div n="2">— c)   ( )       <div n="2">	                 (hier und   ist die Glosse   zur Erklär. des später ungebräuchlichen Namens eingeschaltet)
Nom. act.	9		6	0	0	6	      :          , mit dem Inf.:       nach einem Nom. act.:     <LEND>     ¦ (3.  )       im    ,   <div n="	                         (   ). <div n="1">— 2)   Nom. act.  ,     wird   unter den   aufgeführt. <LEND>     	geführte Stelle. <LEND>    1.  ¦ <div n="1"> 1)   Nom. act. von       <div n="1">— 2)    :       ( :     <div
Pl.	3	Y	8	0	2	6	.  , Abl. Gen.  , Loc.   oder  ; Du. Gen. Loc.  ; Pl. Gen.       Aus den Veden lassen sich folgende For	. Gen.  , Loc.   (auch im        ; dagegen   :  ; Pl. Acc.   (nur  ; in der entsprechenden Stelle   :  	 ,     und  ; Du. N. V. Acc.  , Instr. D. Abl.  ; Pl. N. V. Acc.  , Instr.  , D. Abl.  , Loc.  ; die üb
Sg.	3	Y	6	0	0	6	 . In den Veden allein erscheinen überdies: Instr.Sg.m.n.  ,     (beide Formen auch als Adverbia im Geb	der späteren Sprache nur folgende Casus erhalten: Sg. Instr.  , Dat.  , Abl. Gen.  , Loc.   oder  ; Du.	us den Veden lassen sich folgende Formen belegen: Sg. Abl. Gen.  , Loc.   (auch im        ; dagegen   :
Syn.	4		6	0	0	6	. eines Baumes (s.  )   im   <div n="2">— b) (als Syn. von  ; vgl.  )     (neutr.!). <div n="2">— c) N. 	 die obenstehende Form spricht aber wohl auch das Syn.   . <LEND>     ¦   pl. N. pr. eines Volkes     <L	s des  ,                     <div n="2">— f) (als Syn. von  )     <div n="2">— g) N. pr. eines Schlangen
Varr.	5		6	0	0	6	 <div n="1">— 18)   pl. N. pr. eines Volkes       Varr. :  . <div n="1">— 19) zweifelh. ist die Bed. in d	Als   pl. Bez. des daselbst wohnenden Volkes     (Varr.:  ). Ableitt. von compp., welche auf   ausgehen, 	und      ,   <LEND>     ¦   pl. N. eines Volkes   Varr.:   . <LEND>     ¦   =     nach dem     Eine falsc
adverb.	7		6	0	0	6	g mit dem von ihm regierten Worte zu einem   oder adverb. comp.:    ,    ,       [Page1-0091]  ,    ,     (	ndet sich mit dem regierten Worte zu einem   oder adverb. comp., s.   . <div n="v">— Vgl.   und  ; vielleic	                                    Am Ende eines adverb. comp.      , auch anderer compp.   Vgl.   und   .
cas.	4		6	0	0	6	  — Ganz ausnahmsweise erscheint   mit demjenigen cas. verbunden, den die Construction des Satzes erford	; in diesen compp. könnte das erste Wort auch als cas. obliquus aufgefasst werden. <LEND>     ¦ ( )   N.	owohl in näherer Beziehung zum nom., als zu einem cas. obl. im Satze, der bisweilen auch zu ergänzen ist
cass.	5		6	0	0	6	. Sprache vom ersten Thema:   oder  , die übrigen cass. von  ; im   vom ersten Thema überdies: loc.    , 	he ergänzen sich beide Stämme bei der Bildung der cass.: von   stammt der instr. dat. abl. gen. loc. sg.,	, wie auch die übrigen pronomina, in den obliquen cass. nicht wie ein pron. declinirt:   (hier bezeichnet
defin.	6		6	0	0	6	LEND>     ¦     ( )   im   — Das pron. und adv. indefin.   s. u. 1.   und u.   . <LEND>     ¦   N. pr. ein	s am Anf. einiger   compp. erscheint, ist   als indefin. aufzufassen.     oder  :                     (sub	v n="1">— 8) in Verbindung mit   und   als adv. indefin. <div n="2"> a) mit             (so wohl zu schrei
fig.	4		12	0	6	6	ass. Sprache ist das Wort in der Bed.   ganz geläufig.                                                  	hnes des         <LEND>     ¦ ( )         im   häufig. <LEND>     ¦ adj.:     <LEND>     ¦ s. u.   . <LE	selt mit diesem in Hdschrr. und Ausgg. überaus häufig. <LEND>     ¦ ( ) nom. ag.  :     <LEND>     ¦ ( )
herausg.	8		6	0	0	6	kchens, das sich an die   anschliesst. Vor Kurzem herausg. von   <LEND>     ¦ ( )     zu   <LEND>     ¦ (von	ilienchronik der Unterkönige eines Theiles von  , herausg. von   <LEND>     ¦ (1.  )   dass.       <LEND>   	¦ ( )     (Propheten)  , Titel eines Schauspiels, herausg. in der   <LEND>     ¦ ( )   Titel einer Grammatik
intransit.	10		6	0	0	6	belegen; in der späteren Sprache   (häufig in der intransit. Bed. des pass.),    ;   Schol. E. zu   — pass. od	ddhistischen Werkes   <LEND>     ¦,       auch in intransit. Bed. (=     (zur Erde):           so heissen die 	t.   (zu reden)   <div n="p">—   act. und med. in intransit., act. in transit.       <div n="1"> 1)   (im Lauf
nom. pr.	8		6	0	0	6	n Abwesenden:             In Verbindung mit einem nom. pr.             Dieses pron. und seine Ableitungen we	m Inder zusagen können:   <LEND>     ¦ ( )       (nom. pr.)     <LEND>     ¦ s.   . <LEND>     ¦ ( )      , 	päter:  :                               vor einem nom. pr.   Bei den Buddhisten erhält fast jedes Werk das B
nomin.	6		6	0	0	6	  in dieser Verbindung für eine Ableitung eines denomin. von   anzusehen und demzufolge die Formen   und  	)     Bez. einer     <LEND>     ¦, lies (von  , denomin. von  )     und füge hinzu 10, 47, 67. 78, 23. 89,	ND>     ¦       im   <LEND>     ¦ (von  , einem denomin. von  )    :   ( )   <LEND>     ¦ ( )   Titel eine
pron. rel.	10		6	0	0	6	                         =     In Correl. mit dem pron. rel.:   (so ist zu lesen mit  )   u. s. w.       Diese	em    :     <div n="1">— 2)  , in Correl. mit dem pron. rel.:             <div n="1">— 3)  :   (von dem eben d	     nach ders. Aut.;   ders. nach   <LEND>     ¦ pron. rel. so v. a. 1.  .                 <LEND>     ¦ s.   
unbest.	7		6	0	0	6	726] <div n="1">— 2)     N. eines  , pl.         (unbest. ob Kürze oder Länge)     Vgl.   und   . <LEND>   	        Vgl.   . <div n="1">— 4) zu einem blossen unbest. Art. sinkt   erst in später Zeit herab, doch find	         ( ).             zu     (vgl.           (unbest. Artikel):   (vgl.     <LEND>     ¦ (wie eben)    
vorhergeh.	10		6	0	0	6	ein Sohn       versch.      <div n="v">— Vgl. die vorhergeh. Ww. <LEND>     ¦ (2.  )   N. pr. ein Sohn       <	  )   N. pr. ein Sohn       <div n="v">— Vgl. die vorhergeh. Ww. <LEND>     ¦ (3.  ) <div n="1"> 1)    :      	div n="2">— b)  ,  ,     — Wohl in dieser und der vorhergeh. Bed. kann das Wort dem verglichenen Begriff sowoh
Ableitt.	8		5	0	0	5	 ) adv.  :                 <LEND>     ¦ (1.  ) in Ableitt. werden beide Glieder verstärkt ( )     . <LEND>  	  (sic) =    ,   <LEND>     ¦ (1.  ) verstärkt in Ableitt. beide Glieder ( )     . <LEND>     ¦ (von   mit  	<div n="1">— 2)  :     <LEND>     ¦ (wie eben) in Ableitt. werden beide Glieder verstärkt ( )     .   <div n
Commentatt.	11		5	0	0	5	ie   her.                   (p. 570).     oft bei Commentatt. <div n="1">— 5)     hat ihre Verkörperung in der 	) unter den Namen für             und oft bei den Commentatt. Sie wird in den Opfersprüchen und in den   in die	Vgl.   . <LEND>     ¦   ein Epith.  , das von den Commentatt. auf   und   zurückgeführt wird und bedeuten soll:
Du.	3	Y	5	0	0	5	 zu einem Adverb erstarrte Ablativ   und der Gen. Du.   . Ueber die Bedeutung und die Betonung dieser F	Sg. Instr.  , Dat.  , Abl. Gen.  , Loc.   oder  ; Du. Gen. Loc.  ; Pl. Gen.       Aus den Veden lassen 	ere Sprache folgende Formen: Sg. N.  ,     und  ; Du. N. V. Acc.  , Instr. D. Abl.  ; Pl. N. V. Acc.  ,
Gegend.	7		6	0	1	5	dat. von  ) ved.   <LEND>     ¦   nach   N. einer Gegend. <LEND>    1.  ¦ (3.  )         <LEND>    2.  ¦ (w	D>     ¦         im   <LEND>     ¦   N. pr. einer Gegend. (s.  )   im       N. der Hauptstadt   <LEND>     	          in   Nach   im   ist das   N. pr. einer Gegend. <div n="1">— 2)   N. pr. eines der 5 Söhne von   
N. Pr.	6		5	0	0	5	( )   N. pr. eines Brahmanen   <LEND>     ¦ ( )   N. Pr. eines Scholiasten     <LEND>     ¦ ( )   Titel ei	     <div n="1">— 3)   Bez.     <div n="1">— 4)   N. Pr.   pl. N. pr. eines Volkes      ; vgl.  ,   sg. N.	>— 2)     <div n="2"> a)     im   <div n="2">— b) N. Pr. der Gattin           <LEND>     ¦ s. u.   1). <LE
S. u.	5		6	0	1	5	 <LEND>    3.  ¦     am Ende eines   Compositums. S. u. 1.   . <LEND>     ¦ (1.  )       im   u.   und   	schiedener praepp. dienend; bei                   S. u. d. Ww. <div n="1">— 2) praep. <div n="2"> a)  : <	nden) zurückgehende tonlose Nebenform:   u.s.w.   S. u.   . —  ), auf etwas dem Sprechenden nahe Liegende
Spr.	4		21943	0	21938	5	eigt). <div n="p">— caus. act.     in der älteren Spr. partic. med.  ;   (mit dopp. acc.)               	ischen Sprache;                 und in der klass. Spr.;                       und in der klass. Spr.; vg	ss. Spr.;                       und in der klass. Spr.; vgl.   . <div n="1">— 2) pl.             zu     
Zus.	4		5	0	0	5	 :     <LEND>     ¦     Davon     als adv.:     — Zus. aus   und   ist auf ein     zurückzuführen, wie  	en   steht   mit der Bedeutung   allein da.</F> — Zus. aus   und    ;   ist in der Bedeutung von   oder 	m   <LEND>     ¦ ( )         <LEND>     ¦       — Zus. aus     und    ; das Ende des Comp. ist nicht kla
a. St.	6		5	0	0	5	 ¦      :        , ult.     bei   in der n. zu d. a. St. Varr.:     und   in der N.     <LEND>     ¦    : 	       (so ist zu lesen)     —   bei   zu d. eben a. St.   so v. a.     So ist auch   st.   zu lesen und o	p.           <LEND>     ¦ (von  )           zu d. a. St. Am Ende eines comp. s.   . <LEND>     ¦ s.   . <L
anom.	5		5	0	0	5	<LEND>     ¦ (von  ) adv.           <LEND>     ¦ (anom. desid. von  ),  ; nur im praes., partic. (act. un	.   . <LEND>     ¦ (von  )    :     <LEND>     ¦ (anom. intens. von    :           <LEND>     ¦,      ; v	   ¦,      ; vgl.  . --   s. u.   . <LEND>     ¦ (anom. intens. von  , selten med. <div n="1"> 1)  :     
ausgeh.	7		5	0	0	5	u   <LEND>     ¦ (von  )    , Accent eines darauf ausgeh. comp.     . <div n="1"> 1)       . <div n="2"> a)	a. a. O. <LEND>    1.  ¦       Accent eines auf   ausgeh. comp.       <div n="1"> 1)  ; bei einer Pflanze  	    ,  .   <div n="2"> a)               Ein auf   ausgeh. Wort bewahrt im comp. vor   das                  
beim.	5		5	0	0	5	    <LEND>     ¦ (wie eben)             =    ,  . beim.   das Beispiel aus   <LEND>     ¦ (wie eben)     	     (so die  ,    )                   Uebertr.   beim.           <div n="1">— 9)         (hier durch   w	 ¦ <div n="1"> 1)   zu     <div n="1">— 2) vgl.   beim.   zu   <LEND>     ¦   N. pr. eines Mannes        
denomin.	8		5	0	0	5	,   in dieser Verbindung für eine Ableitung eines denomin. von   anzusehen und demzufolge die Formen   und  	 3)     Bez. einer     <LEND>     ¦, lies (von  , denomin. von  )     und füge hinzu 10, 47, 67. 78, 23. 89,	LEND>     ¦       im   <LEND>     ¦ (von  , einem denomin. von  )    :   ( )   <LEND>     ¦ ( )   Titel eine
eigentl.	8		5	0	0	5	 (von 2.  ) adv.     <LEND>     ¦ (von   mit  )   eigentl.  ; pl.   heissen gewisse im Ritual zu den   gerec	ccentuirung des Textes in   zerlegt wird, scheint eigentl. dem einfachen verbum anzugehören (s. —  ) und ist	       (lies  ). — In der ersten Bed. von  , also eigentl.   <LEND>     ¦ (von  )       im           (sic)  
engl.	5		6	0	1	5	riften, welche   zu Gebote standen, haben   . Die engl. Uebersetzung in der Calc. Ausg.:  ), also noch ei	   <div n="1">— 3) am Ende eines comp.  :     Die engl. Uebers.:  ;   und   wie wir.     u.s.w.   <LEND> 	   . <div n="1">— 3)      , ein lästiges Unkraut, engl.  ,           zu     Vgl.   . <LEND>     ¦ s. u.  
franz.	6		6	0	1	5	     zu    , =     = (1/4)   = (1/400)   = 11,375 franz. Gramme                   (   )   =  , also auch 1	                     ,         <div n="1">— 9)  , franz.  ; mit dem acc.:             so v. a.     <div n=	v n="1">— 2)  :           <div n="1">— 3)   (vgl. franz.  :       <div n="1">— 4)   so v. a.  :           
infinit.	8		5	0	0	5	                               <div n="3">— δ) im infinit.:             <div n="1">— 2)   <div n="2"> a) pl.	                        zu     zu       mit einem infinit., der passivisch aufzufassen ist; daher auch der A	 3)       <div n="p">— caus.           aor.       infinit.      :                           —               
insb.	5		5	0	0	5	  :                           —     pl.   heissen insb. <div n="1"> 1)  , die auch sonst weibl. personifi	     ¦ (von   mit  )       <LEND>     ¦ ( )       insb. eine Verbindung von   mit     ( ; vgl.   und von 	  ) von       zu   <LEND>     ¦   subst.         (insb.  )                           pl. =   pl.         
musik.	6		32	0	27	5	       <div n="p">—    :           Ueberh.   (ein musik. Instr.):           <div n="p">—    :         (s. 	    Viell. vom   der Sonne   <div n="1">— 5)     (musik.)    ,  ; dazu dienen verschiedene eigens dazu ang	Inschr. in                 <div n="1">— 2)   (ein musik. Instr.):     <div n="1">— 3)  :             <LEND
od.	3	Y	13	0	8	5	r 1sten, bald auf der 2ten Silbe)       imperf.   od.         . <div n="1"> 1)           [Page1-0165]  	u   <LEND>     ¦ (v. l.  ) N. pr. des Geschlechts od. des Geburtsortes von    ; vgl. Prolegg. I. fg. <L	,  ,     <div n="v">— Vgl.   . <LEND>     ¦   =   od.    ,  .   <LEND>     ¦     (wird   vom   getrennt
recipr.	7		5	0	0	5	 n="1">— 4)   oder   (acc.)  :                   (recipr. nach  ).  :     <div n="1">— 5)  :     <div n="1"	                                   med. :     mit recipr. Bed.   <div n="1">— 2)   (ein Heer):     <div n="	     (einen Fluss):     <div n="p">—    :     —   recipr.  ,   <div n="p">—   <div n="1"> 1)  :            
reduplic.	9		5	0	0	5	2ten     <LEND>     ¦ (von 1.   oder vielmehr der reduplic. Form  ; also etymol. richtiger  )     (  unter de	   ¦ (von  )    :                 <LEND>    1.  ¦ reduplic. Nebenform von 1.  ; s. dass. <LEND>    2.  ¦ (= 1	   . <LEND>     ¦,   s. u.   . <LEND>     ¦,    ; reduplic. Nebenform von     — intens. 2. imperat.    ,   <L
sing.	5		7	0	2	5	       <div n="1">— 3)  :         pass. mit einem sing.:     <div n="p">—   <div n="1"> 1)   (acc.)  :   	 n="1">— 2) med.   (acc.)  )         — intens. 2. sing. imperf.    ,  ,   <div n="p">—     (loc.):     <d	(vgl.  ).               von  , namentlich von     sing.                   (wofür in    )         <div n="
spiel.	6		6	0	1	5	. <LEND>     ¦ ( )     (als ein frommes Werk):   (spiel. Etym.)     <LEND>     ¦   von       . <LEND>     	ng   sehr häufig in der spätern Sprache.         (spiel. Etym.)   u.s.w.                                  	 (von  )                     (=   (=  ).         (spiel. Etym.)   <LEND>     ¦ (wie eben)             <LEN
unregelm.	9		5	0	0	5	                      [Page1-0544] ( )           (unregelm. redupl., als wenn   die Wurzel wäre)             	        <div n="1">— 6) die Form     :   ist eine unregelm. Schreibung und zu 1.   zu ziehen; man vgl. oben u	                Vgl.   . <LEND>     ¦ scheint ein unregelm. partic. perf. act. von   zu sein, etwa  :     <LE
vergl.	6		6	0	1	5	LEND>    3.  ¦ vor Consonanten und   vor Vocalen (vergl. jedoch  ). Eine negirende Partikel, die wie das g	. über diese ganze Wortsippe   in Zeitschrift für vergl. Sprachf. II, Heft 4. <LEND>    2.  ¦             	:       zu                       Mit Weglass. des vergl. Theiles:     (  Viell. auch in dieser Bed. von  ,
vollst.	7		5	0	0	5	ge3-0204] ( )     im   <LEND>     ¦ ( )    , oder vollst.   Titel eines Commentars zu der         <LEND>   	<LEND>     ¦ ( )    , Titel eines astron. Werkes; vollst.       Titel eines philosophischen Werkes   <LEND>	        <LEND>     ¦ (von  )    :             f., vollst.             zu                           <div n="
Astron.	7		4	0	0	4	   :    ; vgl.   zu d. St. <div n="1">— 3) in der Astron. Bez. <div n="2"> a)       <div n="2">— b)   pl.  	ch   <div n="1">— 2)       <div n="1">— 3) in der Astron.       <div n="1">— 4)     (zugleich   <LEND>     	)  :    ; vgl.             <div n="1">— 9) in der Astron.  :      , Comm. <div n="1">— 10)  :     <div n="1
Corr.	5		78	0	74	4	<LEND>     ¦       und   nach  , wo aber nach den Corr.   für   zu lesen ist. <LEND>     ¦ ( )     ( )   	 nützende)   (           , wo   (nicht  , wie die Corr. angeben) zu lesen ist. Vgl.     <LEND>     ¦ so v	        und   wie der gedr. Text, vgl. jedoch die Corr. <LEND>     ¦ ( )     (am  )   <LEND>    1.  ¦ (wo
Geom.	5		4	0	0	4	. <div n="3"> α)                           In der Geom.     <div n="3">— β)  :     <div n="2">— b) am End	v n="2">— b)     <div n="2">— c)           in der Geom.       (vgl.  )  ; vgl.   . <div n="2">— d)     <d	    ,  .; s.   . <LEND>     ¦ (von  )     (in der Geom.)   <div n="v">— Vgl.   . <LEND>    1.  ¦ I. trans
Gr.	3	Y	26	0	22	4	n="1">— 7)     (  Vgl.   . <div n="1">— 8) in der Gr.  ; den Namen erhält ein solcher   nach dem ersten	   <div n="1"> 1)     in   <div n="1">— 2) in der Gr.    ,  . <LEND>     ¦ ( )    , ein Bein.   (vgl.  	div n="1">— 2)  :     in   <div n="1">— 3) in der Gr.                ; vgl. u.   <div n="1">— 4)   Scho
Kap.	4		58	0	54	4	n="1">— 2)  :         <div n="1">— 3)     Buch 1, Kap. 102 in der Unterschr.   <div n="v">— Vgl.   . <LE	 <div n="1"> 1)     oder      :     (vgl. Buch 3, Kap. 38. fgg.).               <div n="1">— 2)   <div n	                                  in     ebend.   Kap. pl.         wird   unter den 9 Feinden   aufgefüh
Part.	5		4	0	0	4	o ist zu lesen)  ,   <LEND> <H>     1.  ¦ enklit. Part.   Die Personalpronomina erscheinen in den vollere	       <div n="v">— Vgl.   . <LEND>     ¦ enklit. Part. Im  . vom vorangehenden Worte getrennt.     <div 	.     <LEND>     ¦ aus   ( .:  ) zusammengesetzte Part., welche niemals am Anfange eines Satzes oder Halb
Partic.	7		6	0	2	4	m und mit dem Infinitiv:             oder     Das Partic. praet. pass. verbindet sich mit der verneinten Fo	 verbindet sich mit der verneinten Form desselben Partic. sehr häufig zu einem Compositum,   (   )         	erden,   <LEND>     ¦ (denom. von  ),  .    :     Partic. act.       u.s.w.     <div n="v">— Vgl.   . <div 
Person.	7		4	0	0	4	 eines die Kinder bedrohenden Dämons (viell. eine Person. des  )   <LEND>     ¦         zu     <div n="1"> 	ne Contraction von  , gen. sg. des pron. der 2ten Person. <LEND>     ¦   pl. N. einer   — Schule     Varian	mythologischen System im engeren Sinne angehörige Person.   erscheint besonders in folgenden Beziehungen: <
Philos.	7		6	0	2	4	 Die Buddhisten nehmen 5   an:             In der Philos.:   (    (      in       <div n="1">— 3)   <div n=	   (  70).         dass.   <div n="1">— 2) in der Philos.                 39.     zu   <div n="1">— 3)     	    <div n="1">— 5)  :     <div n="1">— 6) in der Philos.   (im Gegens. zu                               is
Präpp.	6		4	0	0	4	für               im               — caus.   (mit Präpp. nur dieses) und        :                       [P	    :             <div n="p">— caus.   und  , mit Präpp. nur            , v. l. <div n="p">— intens. s.   	 n="v">— Vgl.   . <div n="p">— caus.   und   (mit Präpp. nur  )    :         <div n="p">—         <div n="
Rel.	4		6	0	2	4	  ; Beiw. und Bein. eines         Vgl.      , Die Rel. d. Buddha 438. fg. <LEND>     ¦ ( )   N. pr. eine	              Ein oder mehrere Subjecte durch das Rel. zu einem Satze erweitert und dadurch hervorgehobe	      u. s. w.         ohne   so v. a.  :     Das Rel. in Verbindung mit andern Pronomm.:               
Ueberh.	7		4	0	0	4	geahmte Laut in dieser Verbindung unterliegt,     Ueberh. (ein Wort, einen Spruch u.s.w.)  :               	    :                 <div n="p">—    :           Ueberh.   (ein musik. Instr.):           <div n="p">—    	   von andern Göttern       vom Wagen der         Ueberh.  :         [Page6-0012]                     <div 
Urspr.	6		4	0	0	4	— 3)     (als suff. betrachtet)   in    ,  . 1.   Urspr. wohl nur  ; vgl.     und   . <div n="1">— 4)     	 bezeichnet durch einen Beisatz wie               Urspr. wohl den   (von 2.  ) bezeichnend, ist das Wort d	1)  :     <div n="1">— 2)  ,     [Page2-0795]     Urspr. wohl:  ; vgl.   <LEND>     ¦ ( )       <LEND>    
adverb. comp.	13		4	0	0	4	g mit dem von ihm regierten Worte zu einem   oder adverb. comp.:    ,    ,       [Page1-0091]  ,    ,     (=    ,	ndet sich mit dem regierten Worte zu einem   oder adverb. comp., s.   . <div n="v">— Vgl.   und  ; vielleicht ste	                                    Am Ende eines adverb. comp.      , auch anderer compp.   Vgl.   und   . <div 
bez.	4		4	0	0	4	             =   ( )   <div n="1">— 4)  ,         bez.   der verschiedensten Art, meist schmerzlose und 	tung:             (=  )       auf den Sprechenden bez.:  :         (=    ). mit der Bed. des loc.:  :   	        Am Ende eines   comp.             Insbes. bez.   nach   und         ( ; vgl.  ). <div n="1">— 2)
